Countries,Revenue_generated($),Percentage of Loan Applications_Approved,Loan Types,Percentage_of _LoanPortfolio, Percentage_of_Delinquent_Loans,Loan_origination_Cost_in_USD,Credit_Score_Ranges,Loan_Delinquency_Rate(%),Revenue Distribution_by_Region:,Revenue_generated,Region_revenue_generated,Loan_Application_Stage,Number_of_Loans_or_Conversion_Rate,Cost_Efficiency_Ratio,Time Period_Months($)
Denmark,9499604,75,Home Equity Line of Credit Construction loan,23,3.5,445,823,4,Middle East and Africa,21954865,Asia-Pacific,Funding,979,81.28,9811154
Hong Kong,9143564,82,Adjustable-rate mortgage,40,3,275,844,8,Europe,34109958,Asia-Pacific,Application,956,78.76,11885905
Darussalam,9166073,90,Fixed-rate mortgage,29,3.5,536,667,6,Asia-Pacific,15845257,Asia-Pacific,Funding,691,88.61,9953849
Sweden,9320795,88,Adjustable-rate mortgage,10,4,468,326,1,Asia-Pacific,19497963,Europe,Lead,570,83.87,11671306
Norway,9315153,82,Jumbo mortgage,16,3,511,738,2,Americas,19058954,Asia-Pacific,Lead,260,86.9,11881825
Darussalam,9019348,87,Adjustable-rate mortgage,7,3.5,372,584,9,Americas,17052494,Americas,Application,278,62.61,10639040
Darussalam,9398219,82,Adjustable-rate mortgage,14,0.5,390,848,1,Americas,22052682,Europe,Application,332,84.26,11083953
SAR United States,9997618,87,Jumbo mortgage,7,3,462,467,2,Europe,30908942,Middle East and Africa,Lead,604,70.14,10506001
United Arab Emirates,9032223,90,Adjustable-rate mortgage,38,0.5,444,332,10,Middle East and Africa,16305561,Americas,Lead,265,76.64,11304009
"",9640894,83,Fixed-rate mortgage,30,2.5,354,511,9,Middle East and Africa,15940993,Americas,Lead,953,60.15,11452389
Hong Kong,9571130,81,Adjustable-rate mortgage,12,4,287,708,8,Europe,33406460,Asia-Pacific,Application,610,83.33,10949642
Austria,9873250,86,Adjustable-rate mortgage,36,"",613,769,5,Americas,12197672,Americas,Funding,604,68.85,9909376
United Arab Emirates,9124927,80,Jumbo mortgage,36,"",605,465,2,Americas,22727102,Europe,Lead,906,78.85,11723794
Norway,9963642,75,Fixed-rate mortgage,39,2,510,793,6,Middle East and Africa,31511116,Middle East and Africa,Application,437,64.24,10793515
Germany,9117822,81,Home Equity Line of Credit Construction loan,15,"",289,366,8,Middle East and Africa,10676324,Asia-Pacific,Funding,438,88.55,10242096
Qatar,9266319,76,Jumbo mortgage,31,1,555,627,9,Asia-Pacific,20772690,Americas,Underwriting,170,82.93,9763278
Denmark,9014775,85,Adjustable-rate mortgage,38,"",370,741,4,Asia-Pacific,10825365,Asia-Pacific,Lead,716,86.82,9944340
Kuwait,9939184,76,Jumbo mortgage,8,1.5,419,693,9,Europe,19642182,Asia-Pacific,Funding,321,77.32,11832727
Australia,9224593,81,Home Equity Line of Credit Construction loan,22,3,625,682,4,Europe,31919972,Middle East and Africa,Lead,419,83.2,11163708
Hong Kong,9067306,72,Home Equity Line of Credit Construction loan,22,0.5,616,471,7,Americas,34212289,Europe,Underwriting,275,87.86,10426067
Switzerland,9127567,81,Jumbo mortgage,40,"",256,486,4,Americas,33052589,Europe,Underwriting,636,62.16,10073035
San Marino,9142322,89,Home Equity Line of Credit Construction loan,40,3.5,397,848,6,Middle East and Africa,11716347,Asia-Pacific,Lead,204,65.93,11845689
Kuwait,9526372,81,Adjustable-rate mortgage,15,2.5,594,690,9,Europe,22839396,Europe,Lead,608,63.52,10326506
Australia,9524663,83,Adjustable-rate mortgage,19,1.5,523,731,2,Europe,18515696,Middle East and Africa,Lead,447,80.44,10766628
Darussalam,9156145,83,Adjustable-rate mortgage,18,"",367,736,6,Asia-Pacific,11814511,Americas,Funding,254,74.58,10589901
Australia,9143664,76,Home Equity Line of Credit Construction loan,18,2,463,318,3,Europe,34307466,Asia-Pacific,Underwriting,713,74.06,9806100
Hong Kong,9647809,82,Adjustable-rate mortgage,35,1,372,536,8,Europe,32584254,Asia-Pacific,Funding,997,63.51,9764977
San Marino,9276424,84,Fixed-rate mortgage,27,2.5,509,791,3,Middle East and Africa,29893557,Middle East and Africa,Application,520,79.72,10912839
Brunei,9749442,89,Jumbo mortgage,19,"",501,656,4,Americas,22210985,Americas,Underwriting,525,80.51,10602140
Australia,9591694,70,Home Equity Line of Credit Construction loan,29,4,279,417,1,Middle East and Africa,33067135,Asia-Pacific,Application,553,60.28,10029736
SAR United States,9716060,87,Fixed-rate mortgage,24,"",547,512,6,Middle East and Africa,25952829,Middle East and Africa,Funding,519,74.49,11117983
Singapore,9418850,83,Jumbo mortgage,5,0.5,256,562,5,Europe,28980907,Europe,Underwriting,569,63.3,11605527
Iceland,9758776,71,Adjustable-rate mortgage,18,3,290,593,3,Middle East and Africa,14763227,Americas,Underwriting,897,87.61,10645991
"",9371761,86,Fixed-rate mortgage,23,"",627,797,6,Middle East and Africa,10274772,Asia-Pacific,Lead,185,63.61,11560993
Norway,9064002,77,Jumbo mortgage,12,3,325,799,7,Asia-Pacific,27773519,Asia-Pacific,Underwriting,341,61.91,10455381
Iceland,9339395,78,Fixed-rate mortgage,5,"",508,560,3,Americas,11851706,Americas,Funding,841,84.65,9880636
Australia,9301219,82,Adjustable-rate mortgage,17,0.5,417,543,6,Middle East and Africa,28557106,Middle East and Africa,Funding,861,85.28,10594409
Kuwait,9726474,73,Jumbo mortgage,24,4,341,780,4,Asia-Pacific,12702874,Middle East and Africa,Underwriting,829,72.28,11614304
Switzerland,9919781,82,Jumbo mortgage,6,1,286,437,5,Europe,24867412,Europe,Underwriting,191,79.27,11665236
Australia,9208234,73,Home Equity Line of Credit Construction loan,14,2.5,370,635,5,Middle East and Africa,32658235,Europe,Underwriting,438,86.85,11719254
Darussalam,9971196,82,Adjustable-rate mortgage,5,3.5,482,800,3,Europe,30169396,Europe,Underwriting,214,70.64,10679747
Austria,9434023,84,Adjustable-rate mortgage,16,4,342,417,7,Europe,20174991,Europe,Lead,828,69.91,9999319
Sweden,9352984,80,Adjustable-rate mortgage,36,4,513,749,1,Americas,22033142,Middle East and Africa,Underwriting,888,82.26,10927933
SAR United States,9631308,90,Jumbo mortgage,10,0.5,481,813,6,Americas,14892343,Europe,Lead,621,79.68,10264618
Iceland,9002401,84,Jumbo mortgage,9,3.5,368,341,2,Europe,29493780,Middle East and Africa,Lead,775,86.01,11854694
Denmark,9334005,83,Adjustable-rate mortgage,13,1,350,659,2,Middle East and Africa,13931224,Americas,Application,126,84.45,10906644
Denmark,9274391,82,Home Equity Line of Credit Construction loan,25,1.5,538,501,4,Europe,21767835,Asia-Pacific,Funding,317,87.17,11166043
Qatar,9094835,86,Fixed-rate mortgage,25,1.5,630,405,2,Asia-Pacific,30257788,Middle East and Africa,Underwriting,136,76.09,9790107
San Marino,9933686,72,Adjustable-rate mortgage,12,1.5,296,737,8,Europe,28647122,Europe,Funding,318,72.88,9526139
Denmark,9654557,84,Adjustable-rate mortgage,17,1.5,646,315,7,Americas,23473295,Middle East and Africa,Underwriting,280,62.76,11759886
Iceland,9627257,73,Jumbo mortgage,18,"",333,745,1,Middle East and Africa,26560069,Europe,Underwriting,794,85.45,9929853
Switzerland,9766242,90,Home Equity Line of Credit Construction loan,24,0.5,531,348,3,Middle East and Africa,26525529,Europe,Funding,473,64.34,10153760
Ireland,9781007,86,Fixed-rate mortgage,36,1.5,536,312,4,Europe,22337869,Europe,Lead,391,71.1,10615225
Qatar,9636383,87,Adjustable-rate mortgage,7,1.5,261,806,10,Europe,25987116,Middle East and Africa,Application,478,67.78,9524559
Darussalam,9047583,86,Adjustable-rate mortgage,40,3.5,302,681,5,Middle East and Africa,15740183,Middle East and Africa,Lead,657,71.96,10643420
Luxembourg,9761519,90,Jumbo mortgage,15,4,398,363,9,Asia-Pacific,33434502,Asia-Pacific,Funding,610,72.26,11621338
Germany,9991963,74,Adjustable-rate mortgage,36,"",627,558,6,Asia-Pacific,23379153,Americas,Lead,611,64.23,9957255
Iceland,9142982,72,Fixed-rate mortgage,23,2,309,516,6,Americas,16205076,Europe,Application,160,86.38,10051241
Hong Kong,9977892,71,Jumbo mortgage,40,1,258,812,9,Europe,21041482,Middle East and Africa,Lead,131,68.1,9887382
Hong Kong,9481181,83,Adjustable-rate mortgage,5,2.5,633,302,2,Europe,25892749,Asia-Pacific,Application,403,77.59,10754947
Norway,9460119,86,Adjustable-rate mortgage,27,2.5,646,600,3,Middle East and Africa,20632301,Asia-Pacific,Underwriting,923,71.93,10362566
Qatar,9334366,89,Fixed-rate mortgage,15,1,283,449,8,Asia-Pacific,17150710,Europe,Funding,486,87.64,11635458
Ireland,9203782,78,Adjustable-rate mortgage,31,3,574,705,3,Americas,13338572,Americas,Application,420,75.25,10021164
Ireland,9870639,72,Home Equity Line of Credit Construction loan,9,1.5,421,383,7,Europe,18537130,Europe,Funding,924,69.13,10109334
Norway,9675460,87,Home Equity Line of Credit Construction loan,21,"",568,823,2,Europe,31103365,Middle East and Africa,Application,765,66.68,10614709
Luxembourg,9687154,72,Adjustable-rate mortgage,40,3,542,637,3,Middle East and Africa,14978987,Europe,Application,922,72.07,9503429
Darussalam,9888233,72,Fixed-rate mortgage,6,1.5,415,632,5,Asia-Pacific,32725532,Europe,Application,560,67.7,10727096
Luxembourg,9025838,72,Jumbo mortgage,37,3.5,385,488,5,Americas,23833501,Europe,Lead,120,74.27,9545124
Switzerland,9206641,77,Adjustable-rate mortgage,28,3.5,457,498,9,Asia-Pacific,25208243,Asia-Pacific,Application,666,73.62,11485060
Qatar,9188875,75,Jumbo mortgage,21,0.5,350,538,5,Europe,19244204,Europe,Underwriting,707,74.49,10385290
Singapore,9677344,86,Adjustable-rate mortgage,27,4,277,336,10,Americas,25047275,Middle East and Africa,Funding,918,89.61,11575512
"",9062337,73,Adjustable-rate mortgage,25,0.5,551,327,9,Asia-Pacific,15081371,Middle East and Africa,Underwriting,473,79.16,10211268
Qatar,9797264,85,Adjustable-rate mortgage,28,0.5,345,782,6,Asia-Pacific,17948682,Europe,Underwriting,475,84.73,10608612
Kuwait,9632488,86,Home Equity Line of Credit Construction loan,6,0.5,606,416,3,Middle East and Africa,23840731,Americas,Underwriting,413,61.76,10805385
Darussalam,9364789,75,Home Equity Line of Credit Construction loan,19,1,344,331,3,Europe,12982826,Europe,Lead,518,76.64,11339733
Switzerland,9838314,83,Jumbo mortgage,14,3.5,445,765,8,Middle East and Africa,11331081,Asia-Pacific,Underwriting,224,87.1,11994637
Kuwait,9137294,80,Home Equity Line of Credit Construction loan,7,1,295,823,7,Europe,13035333,Americas,Underwriting,237,81.17,10122467
Netherlands,9627475,73,Jumbo mortgage,7,2.5,587,568,1,Americas,10425052,Asia-Pacific,Funding,782,67.55,9840851
Denmark,9052349,78,Adjustable-rate mortgage,27,4,409,809,8,Asia-Pacific,20781085,Europe,Funding,708,72.5,11327627
Austria,9461377,83,Home Equity Line of Credit Construction loan,23,4,602,419,3,Asia-Pacific,14167292,Americas,Funding,513,82.76,11195221
Iceland,9063041,87,Fixed-rate mortgage,17,0.5,353,717,1,Asia-Pacific,20845609,Asia-Pacific,Lead,617,72.9,11217452
Ireland,9595557,70,Home Equity Line of Credit Construction loan,17,4,379,627,7,Americas,17944585,Europe,Lead,294,70.48,10712611
Kuwait,9045949,74,Home Equity Line of Credit Construction loan,38,4,449,361,10,Asia-Pacific,25679384,Europe,Funding,279,60.74,11474830
Denmark,9537139,73,Adjustable-rate mortgage,23,3.5,625,688,5,Middle East and Africa,28183504,Americas,Application,774,67.36,10040512
Qatar,9200464,71,Adjustable-rate mortgage,12,4,459,306,7,Europe,21052767,Middle East and Africa,Application,402,74.55,11541552
Norway,9068020,88,Fixed-rate mortgage,35,3,333,569,1,Middle East and Africa,28543767,Europe,Funding,458,73.21,10140603
Singapore,9279564,85,Jumbo mortgage,29,3.5,337,492,5,Asia-Pacific,27390648,Middle East and Africa,Underwriting,184,81.38,10753525
Hong Kong,9360045,82,Adjustable-rate mortgage,40,1.5,468,444,8,Middle East and Africa,10651864,Middle East and Africa,Underwriting,376,81.0,11662416
Norway,9497917,77,Jumbo mortgage,22,1,376,351,10,Asia-Pacific,29398573,Asia-Pacific,Lead,772,85.83,10420734
Netherlands,9163614,90,Jumbo mortgage,14,1.5,564,631,7,Americas,16204744,Middle East and Africa,Lead,685,63.75,10212345
Sweden,9687995,87,Home Equity Line of Credit Construction loan,35,1.5,363,479,1,Europe,32228840,Americas,Underwriting,862,86.55,11322712
Qatar,9474257,79,Adjustable-rate mortgage,22,2.5,420,371,9,Europe,13345553,Middle East and Africa,Funding,546,78.86,11007134
SAR United States,9110319,78,Home Equity Line of Credit Construction loan,10,3,485,331,2,Europe,33282398,Americas,Underwriting,974,70.38,10164983
Switzerland,9508802,77,Fixed-rate mortgage,28,0.5,563,755,7,Americas,26505365,Europe,Funding,689,82.07,10507584
Qatar,9890178,77,Jumbo mortgage,33,0.5,562,336,4,Asia-Pacific,24329531,Middle East and Africa,Lead,131,81.89,10394219
Singapore,9280994,87,Adjustable-rate mortgage,35,4,614,607,3,Americas,30833858,Europe,Underwriting,476,65.0,9655001
Germany,9268857,89,Jumbo mortgage,28,1,508,784,2,Asia-Pacific,31158665,Americas,Funding,411,62.48,11457389
Sweden,9228125,88,Jumbo mortgage,39,2.5,440,406,3,Middle East and Africa,21235193,Middle East and Africa,Underwriting,759,65.04,9759011
Luxembourg,9866204,79,Adjustable-rate mortgage,32,2.5,640,429,9,Europe,10599450,Europe,Lead,932,89.34,11199001
Sweden,9690551,74,Fixed-rate mortgage,13,1.5,466,461,10,Americas,28922233,Middle East and Africa,Underwriting,936,66.47,11225612
Singapore,9058096,83,Jumbo mortgage,29,3.5,562,701,5,Asia-Pacific,15375134,Europe,Application,511,64.25,10352146
Sweden,9923158,78,Jumbo mortgage,10,4,439,846,2,Middle East and Africa,30979038,Asia-Pacific,Application,969,60.92,10633994
Luxembourg,9303237,77,Jumbo mortgage,12,2,594,639,9,Europe,10522892,Americas,Funding,642,70.91,10614948
Switzerland,9619947,72,Jumbo mortgage,34,3.5,518,378,3,Asia-Pacific,24309169,Asia-Pacific,Underwriting,574,75.69,10334675
San Marino,9234141,82,Home Equity Line of Credit Construction loan,31,3.5,540,691,10,Middle East and Africa,21779025,Americas,Underwriting,168,61.64,11178545
Qatar,9016320,80,Jumbo mortgage,7,1.5,361,540,8,Middle East and Africa,15329508,Asia-Pacific,Funding,846,87.05,10714530
Qatar,9123350,72,Adjustable-rate mortgage,13,2,482,373,3,Asia-Pacific,20405039,Middle East and Africa,Underwriting,398,74.66,11494731
Australia,9089241,87,Fixed-rate mortgage,5,1,269,663,2,Europe,17189888,Americas,Underwriting,429,68.6,10808665
United Arab Emirates,9895159,89,Adjustable-rate mortgage,31,1.5,330,318,7,Europe,21160336,Europe,Lead,939,83.93,10475960
Hong Kong,9849143,72,Adjustable-rate mortgage,12,3,335,492,1,Middle East and Africa,30057638,Americas,Funding,795,65.1,9597924
Macao SAR,9128255,79,Jumbo mortgage,32,2.5,256,523,10,Middle East and Africa,23176022,Americas,Funding,807,69.22,11437687
Qatar,9288367,84,Fixed-rate mortgage,28,"",551,525,1,Asia-Pacific,24888017,Americas,Underwriting,570,78.36,11600706
Singapore,9673491,75,Adjustable-rate mortgage,29,2,553,463,5,Europe,19044890,Europe,Funding,812,81.49,11725064
"",9088087,88,Fixed-rate mortgage,23,3,539,458,5,Americas,10423448,Middle East and Africa,Funding,258,65.62,9774321
Ireland,9781273,88,Adjustable-rate mortgage,8,2.5,526,385,6,Europe,29900737,Europe,Lead,574,69.96,10912759
"",9582330,78,Home Equity Line of Credit Construction loan,8,0.5,431,725,8,Americas,17683054,Middle East and Africa,Funding,774,73.85,10736274
SAR United States,9734231,74,Home Equity Line of Credit Construction loan,18,3,362,612,7,Middle East and Africa,15332185,Asia-Pacific,Lead,521,78.53,10754971
Kuwait,9614773,72,Adjustable-rate mortgage,20,2.5,462,359,6,Europe,30929992,Americas,Underwriting,220,81.56,9612991
"",9945628,74,Jumbo mortgage,15,1,254,415,4,Europe,27792366,Americas,Application,175,82.53,10639514
Macao SAR,9947792,82,Adjustable-rate mortgage,8,3,456,788,8,Asia-Pacific,24277977,Middle East and Africa,Funding,829,83.42,11451279
Kuwait,9313929,88,Fixed-rate mortgage,18,3.5,430,410,8,Americas,16188176,Asia-Pacific,Underwriting,977,87.6,11600133
Luxembourg,9314461,71,Home Equity Line of Credit Construction loan,7,3,258,803,1,Middle East and Africa,33107789,Americas,Funding,106,79.77,9535939
Singapore,9186619,77,Fixed-rate mortgage,23,0.5,412,372,5,Asia-Pacific,25169808,Americas,Underwriting,212,62.04,11971508
San Marino,9638486,86,Adjustable-rate mortgage,27,2.5,496,619,1,Americas,31085608,Asia-Pacific,Funding,918,81.86,10552633
Iceland,9905950,88,Adjustable-rate mortgage,5,1.5,485,454,5,Asia-Pacific,20131175,Europe,Lead,368,77.47,11030846
Singapore,9429946,72,Jumbo mortgage,22,"",319,792,5,Middle East and Africa,11265315,Europe,Application,420,87.41,10548333
Germany,9882301,79,Home Equity Line of Credit Construction loan,35,2,315,619,3,Asia-Pacific,29413770,Americas,Lead,622,80.51,11812590
Netherlands,9748361,71,Adjustable-rate mortgage,23,3,465,634,10,Americas,23113838,Asia-Pacific,Lead,154,77.05,11625605
Germany,9522779,80,Home Equity Line of Credit Construction loan,13,3.5,575,615,2,Middle East and Africa,16571663,Asia-Pacific,Funding,701,87.24,10881139
United Arab Emirates,9662483,79,Home Equity Line of Credit Construction loan,5,1,482,592,10,Europe,26158373,Middle East and Africa,Lead,519,82.93,11037224
Kuwait,9748979,72,Fixed-rate mortgage,32,3.5,297,406,6,Asia-Pacific,10763527,Asia-Pacific,Funding,663,76.03,10529322
Macao SAR,9516727,85,Home Equity Line of Credit Construction loan,26,1,325,322,8,Americas,12627795,Europe,Funding,153,88.5,11901497
Luxembourg,9285444,79,Adjustable-rate mortgage,25,3.5,316,428,4,Middle East and Africa,26954285,Middle East and Africa,Application,574,63.43,9986088
Singapore,9424154,73,Jumbo mortgage,36,2,642,400,2,Americas,27325756,Europe,Lead,757,88.78,11929468
Qatar,9142478,81,Adjustable-rate mortgage,11,2.5,649,500,8,Asia-Pacific,13556307,Americas,Lead,721,63.64,9515220
Hong Kong,9907452,73,Home Equity Line of Credit Construction loan,16,"",273,798,10,Middle East and Africa,27272930,Europe,Funding,803,67.61,9956680
Darussalam,9385750,86,Adjustable-rate mortgage,40,0.5,335,603,10,Americas,24532963,Americas,Application,287,84.96,9605851
Hong Kong,9166204,80,Adjustable-rate mortgage,40,1,383,361,8,Europe,32166385,Europe,Underwriting,323,80.83,10214272
San Marino,9224466,84,Jumbo mortgage,33,2.5,425,790,5,Asia-Pacific,19790240,Americas,Underwriting,885,61.8,11692942
SAR United States,9022824,82,Adjustable-rate mortgage,25,2,561,365,4,Middle East and Africa,17671036,Europe,Funding,230,82.09,10035971
Norway,9826201,75,Fixed-rate mortgage,20,3.5,479,758,6,Americas,19768604,Americas,Funding,614,86.2,11669075
Macao SAR,9206219,77,Jumbo mortgage,17,4,285,425,3,Europe,30901412,Middle East and Africa,Funding,237,71.28,11368231
Iceland,9230477,72,Home Equity Line of Credit Construction loan,29,0.5,437,348,4,Americas,14287723,Europe,Lead,736,78.46,11738785
Germany,9095655,72,Fixed-rate mortgage,26,"",445,527,4,Middle East and Africa,17352151,Americas,Underwriting,832,73.28,10642723
Iceland,9395707,72,Fixed-rate mortgage,13,1,311,573,6,Americas,17863672,Americas,Underwriting,508,65.65,9935960
Ireland,9992745,75,Jumbo mortgage,36,2.5,428,648,8,Europe,30711127,Middle East and Africa,Underwriting,107,71.66,10500129
"",9205608,76,Adjustable-rate mortgage,31,0.5,283,773,1,Middle East and Africa,10079833,Asia-Pacific,Funding,105,74.27,10320109
Sweden,9033679,80,Adjustable-rate mortgage,29,1,596,333,4,Europe,21352100,Middle East and Africa,Funding,195,88.92,11532645
Macao SAR,9697928,81,Fixed-rate mortgage,7,3,647,632,6,Europe,15586523,Asia-Pacific,Funding,363,83.88,11356745
Luxembourg,9247432,83,Fixed-rate mortgage,39,1.5,518,797,7,Asia-Pacific,17057317,Asia-Pacific,Lead,237,61.86,11593444
Iceland,9174576,87,Jumbo mortgage,11,1.5,452,375,5,Europe,15727697,Europe,Application,975,78.15,10742331
Germany,9646078,84,Home Equity Line of Credit Construction loan,23,2.5,483,615,5,Americas,18310155,Asia-Pacific,Application,994,87.74,11260768
Germany,9836545,74,Adjustable-rate mortgage,21,1.5,634,414,9,Americas,31381786,Americas,Underwriting,802,88.8,11484619
San Marino,9848027,81,Home Equity Line of Credit Construction loan,26,1.5,365,463,6,Americas,33320368,Asia-Pacific,Underwriting,557,79.8,11762711
SAR United States,9787952,75,Fixed-rate mortgage,29,"",600,560,6,Asia-Pacific,16896270,Asia-Pacific,Lead,669,63.52,10959189
San Marino,9883329,84,Fixed-rate mortgage,9,2,419,747,9,Europe,27360390,Asia-Pacific,Application,372,68.51,11715064
Iceland,9910094,73,Fixed-rate mortgage,21,3,396,496,7,Europe,34227686,Americas,Application,969,80.8,10809469
Sweden,9354322,78,Adjustable-rate mortgage,27,3,259,743,5,Americas,25457007,Middle East and Africa,Underwriting,930,69.97,10461595
Hong Kong,9553244,82,Adjustable-rate mortgage,35,1.5,325,536,2,Asia-Pacific,14869942,Asia-Pacific,Funding,417,79.99,11592819
Sweden,9067635,89,Jumbo mortgage,5,2,604,659,7,Asia-Pacific,16328183,Americas,Underwriting,910,71.01,10459413
Darussalam,9184174,79,Home Equity Line of Credit Construction loan,12,2.5,345,426,7,Americas,20184714,Europe,Underwriting,459,74.96,9649874
Germany,9395871,86,Jumbo mortgage,37,3.5,502,609,10,Asia-Pacific,33846707,Americas,Lead,838,79.89,10852194
SAR United States,9850164,87,Fixed-rate mortgage,15,1.5,262,800,7,Asia-Pacific,22811282,Europe,Underwriting,325,77.86,9997902
SAR United States,9733861,85,Fixed-rate mortgage,11,1,250,516,8,Middle East and Africa,13092838,Europe,Underwriting,598,88.86,11084283
Hong Kong,9156250,86,Home Equity Line of Credit Construction loan,13,2,569,367,10,Europe,28289674,Europe,Lead,662,80.29,11251269
Netherlands,9450001,90,Fixed-rate mortgage,5,1,260,409,2,Asia-Pacific,10460146,Europe,Funding,974,88.59,11355271
Norway,9257705,75,Home Equity Line of Credit Construction loan,25,2.5,515,594,9,Europe,18647549,Middle East and Africa,Funding,633,75.93,9959925
Macao SAR,9875821,76,Home Equity Line of Credit Construction loan,16,2.5,526,509,7,Europe,25503551,Americas,Application,225,66.61,10397900
Australia,9386290,78,Fixed-rate mortgage,13,1.5,525,318,7,Asia-Pacific,23912028,Asia-Pacific,Application,857,83.89,11037402
Singapore,9303611,72,Home Equity Line of Credit Construction loan,14,2.5,396,732,7,Europe,10912471,Europe,Application,802,70.37,10986811
Kuwait,9583953,82,Jumbo mortgage,20,3,268,516,6,Middle East and Africa,23845937,Americas,Application,430,65.24,11810857
Switzerland,9759670,77,Jumbo mortgage,21,4,410,676,5,Europe,12498089,Asia-Pacific,Lead,641,79.33,11660790
